Country,Age,Gender,Customer_Segment,Date,Year,Month,Total_Purchases,Total_Amount,Product_Category,Product_Brand,Product_Type,Payment_Method,Month_Name,Avg_Order_Value,Total_Amount_M,Age_Group
Germany,22.0,Male,Regular,2023-09-16,2023,9,7.0,2117.893408,Clothing,Nike,Shoes,Cash,Sep,302.5562011428571,0.0021178934079999997,18-25
USA,20.0,Male,New,2023-05-15,2023,5,4.0,1698.670033,Home Decor,Bed Bath & Beyond,Bedding,Debit Card,May,424.66750825,0.001698670033,18-25
USA,23.0,Female,Regular,2023-08-13,2023,8,7.0,1581.217379,Books,Random House,Non-Fiction,PayPal,Aug,225.888197,0.001581217379,18-25
UK,22.0,Male,Regular,2023-04-29,2023,4,5.0,1680.933824,Home Decor,Bed Bath & Beyond,Bathroom,Cash,Apr,336.1867648,0.0016809338239999999,18-25
USA,56.0,Female,Regular,2023-06-26,2023,6,1.0,309.9151385,Home Decor,IKEA,Furniture,Credit Card,Jun,309.9151385,0.0003099151385,50+
USA,33.0,Male,Regular,2023-12-19,2023,12,9.0,2157.040511,Electronics,Samsung,Smartphone,Credit Card,Dec,239.6711678888889,0.002157040511,26-35
USA,46.0,Male,New,2023-07-27,2023,7,7.0,600.9631906,Clothing,Adidas,T-shirt,Debit Card,Jul,85.85188437142857,0.0006009631906,36-50
USA,53.0,Male,Regular,2023-03-21,2023,3,9.0,1917.927602,Grocery,Nestle,Coffee,Credit Card,Mar,213.1030668888889,0.001917927602,50+
UK,19.0,Male,Regular,2023-08-13,2023,8,1.0,254.1635259,Clothing,Zara,Jeans,Credit Card,Aug,254.1635259,0.0002541635259,18-25
USA,34.0,Female,Premium,2023-05-23,2023,5,4.0,1362.626908,Grocery,Pepsi,Water,Credit Card,May,340.656727,0.0013626269079999999,26-35
USA,23.0,Male,Regular,2023-10-22,2023,10,2.0,169.1428773,Grocery,Pepsi,Water,Debit Card,Oct,84.57143865,0.0001691428773,18-25
USA,34.0,Female,Premium,2023-10-19,2023,10,6.0,2261.948617,Grocery,Pepsi,Water,Debit Card,Oct,376.9914361666667,0.002261948617,26-35
Canada,31.0,Male,Premium,2023-03-31,2023,3,3.0,973.6691843,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Cash,Mar,324.55639476666664,0.0009736691843,26-35
USA,57.0,Male,Premium,2023-03-13,2023,3,6.0,574.7238982,Home Decor,IKEA,Lighting,PayPal,Mar,95.78731636666667,0.0005747238982,50+
USA,53.0,Male,Premium,2023-11-29,2023,11,5.0,1301.527762,Grocery,Nestle,Coffee,PayPal,Nov,260.3055524,0.001301527762,50+
UK,46.0,Female,Regular,2023-06-22,2023,6,3.0,696.5494111,Electronics,Sony,Television,Debit Card,Jun,232.18313703333334,0.0006965494111,36-50
Australia,18.0,Male,New,2023-12-28,2023,12,5.0,763.384103,Grocery,Coca-Cola,Water,PayPal,Dec,152.67682059999999,0.000763384103,
USA,34.0,Male,New,2023-09-13,2023,9,1.0,121.056035,Grocery,Pepsi,Water,PayPal,Sep,121.056035,0.000121056035,26-35
UK,28.0,Male,Regular,2023-03-23,2023,3,7.0,2377.592776,Grocery,Pepsi,Water,Cash,Mar,339.65611085714283,0.002377592776,26-35
Germany,46.0,Female,New,2023-11-30,2023,11,1.0,465.219885,Grocery,Pepsi,Juice,Debit Card,Nov,465.219885,0.000465219885,36-50
Canada,55.0,Male,New,2024-01-14,2024,1,1.0,45.1551788,Books,Random House,Non-Fiction,PayPal,Jan,45.1551788,4.5155178800000004e-05,50+
USA,20.0,Female,New,2023-04-30,2023,4,2.0,894.137567,Electronics,Apple,Laptop,Debit Card,Apr,447.0687835,0.0008941375669999999,18-25
Germany,20.0,Male,New,2023-07-27,2023,7,6.0,928.513841,Clothing,Adidas,Shoes,PayPal,Jul,154.75230683333334,0.000928513841,18-25
Germany,63.0,Male,New,2023-11-14,2023,11,1.0,285.7803076,Electronics,Sony,Smartphone,Cash,Nov,285.7803076,0.0002857803076,50+
UK,24.0,Female,Regular,2023-05-17,2023,5,2.0,160.9746576,Clothing,Adidas,Jacket,PayPal,May,80.4873288,0.0001609746576,18-25
USA,56.0,Male,Premium,2024-02-15,2024,2,6.0,1057.678376,Clothing,Adidas,Shoes,Credit Card,Feb,176.27972933333334,0.001057678376,50+
Germany,46.0,Female,Regular,2023-05-17,2023,5,3.0,910.6186921,Books,Random House,Non-Fiction,Cash,May,303.5395640333333,0.0009106186921,36-50
Germany,46.0,Male,Regular,2023-09-26,2023,9,3.0,1072.485652,Grocery,Coca-Cola,Juice,PayPal,Sep,357.49521733333336,0.001072485652,36-50
UK,21.0,Male,Regular,2024-01-27,2024,1,4.0,918.3490061,Books,Random House,Fiction,Cash,Jan,229.587251525,0.0009183490061,18-25
Australia,58.0,Female,Premium,2023-05-27,2023,5,5.0,1634.958958,Grocery,Nestle,Snacks,Debit Card,May,326.9917916,0.001634958958,50+
UK,67.0,Male,Regular,2023-11-24,2023,11,10.0,1549.480184,Clothing,Nike,T-shirt,Debit Card,Nov,154.9480184,0.001549480184,50+
USA,26.0,Female,Regular,2023-12-15,2023,12,8.0,2156.636544,Clothing,Nike,Shorts,Debit Card,Dec,269.579568,0.002156636544,26-35
USA,26.0,Male,Regular,2023-04-15,2023,4,3.0,1305.989681,Home Decor,Bed Bath & Beyond,Kitchen,PayPal,Apr,435.3298936666667,0.0013059896810000001,26-35
Australia,46.0,Female,New,2023-03-18,2023,3,5.0,1454.648202,Grocery,Nestle,Snacks,Credit Card,Mar,290.92964040000004,0.001454648202,36-50
USA,67.0,Female,New,2023-07-19,2023,7,5.0,971.9955197,Grocery,Pepsi,Water,Debit Card,Jul,194.39910394,0.0009719955197000001,50+
Canada,66.0,Female,New,2023-06-16,2023,6,1.0,351.505962,Electronics,BlueStar,BlueStar AC,Credit Card,Jun,351.505962,0.000351505962,50+
USA,20.0,Male,New,2023-06-13,2023,6,7.0,917.3684595,Electronics,Apple,Tablet,Credit Card,Jun,131.05263707142856,0.0009173684595,18-25
Australia,63.0,Female,Regular,2023-10-26,2023,10,1.0,291.3069575,Clothing,Zara,Dress,Debit Card,Oct,291.3069575,0.0002913069575,50+
UK,19.0,Male,Regular,2023-05-31,2023,5,3.0,32.73045993,Electronics,Apple,Laptop,PayPal,May,10.91015331,3.273045993e-05,18-25
USA,20.0,Male,Premium,2023-08-13,2023,8,7.0,2874.49939,Books,HarperCollins,Fiction,Cash,Aug,410.64277,0.00287449939,18-25
USA,40.0,Female,Regular,2023-03-13,2023,3,7.0,2748.294174,Clothing,Zara,Jeans,Cash,Mar,392.61345342857146,0.0027482941740000003,36-50
Australia,46.0,Female,New,2023-10-22,2023,10,8.0,3747.767042,Books,Random House,Fiction,Credit Card,Oct,468.47088025,0.0037477670419999998,36-50
UK,20.0,Male,New,2023-03-22,2023,3,1.0,444.3768582,Grocery,Nestle,Coffee,Cash,Mar,444.3768582,0.0004443768582,18-25
Australia,20.0,Female,New,2023-07-16,2023,7,8.0,2742.039303,Clothing,Nike,Shoes,PayPal,Jul,342.754912875,0.002742039303,18-25
USA,26.0,Male,Regular,2023-12-19,2023,12,4.0,392.3016776,Books,Random House,Non-Fiction,Debit Card,Dec,98.0754194,0.0003923016776,26-35
Germany,22.0,Male,Regular,2023-04-25,2023,4,10.0,1362.035295,Books,Random House,Fiction,Cash,Apr,136.2035295,0.0013620352949999998,18-25
Germany,48.0,Male,New,2023-09-30,2023,9,4.0,1693.064801,Electronics,Sony,Headphones,Credit Card,Sep,423.26620025,0.001693064801,36-50
USA,38.0,Male,Regular,2023-08-28,2023,8,9.0,4167.508342,Clothing,Nike,Shoes,Credit Card,Aug,463.05648244444444,0.004167508342,36-50
UK,31.0,Male,Regular,2023-09-20,2023,9,3.0,777.33635,Grocery,Pepsi,Soft Drink,Credit Card,Sep,259.1121166666667,0.00077733635,26-35
UK,20.0,Male,New,2023-10-13,2023,10,9.0,4015.578335,Home Decor,Home Depot,Tools,Credit Card,Oct,446.17537055555556,0.0040155783350000005,18-25
UK,19.0,Male,Regular,2023-08-24,2023,8,8.0,3847.669958,Books,Random House,Fiction,Credit Card,Aug,480.95874475,0.003847669958,18-25
USA,23.0,Male,Regular,2024-02-29,2024,2,6.0,2259.590696,Electronics,Apple,Tablet,PayPal,Feb,376.59844933333335,0.0022595906960000004,18-25
USA,50.0,Female,Premium,2023-06-18,2023,6,3.0,1067.903109,Electronics,BlueStar,BlueStar AC,Credit Card,Jun,355.96770300000003,0.001067903109,36-50
Australia,26.0,Male,New,2023-07-14,2023,7,2.0,593.7565712,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Cash,Jul,296.8782856,0.0005937565712,26-35
Germany,46.0,Female,New,2023-10-22,2023,10,9.0,3253.217977,Electronics,Apple,Smartphone,PayPal,Oct,361.4686641111111,0.0032532179769999997,36-50
USA,42.0,Male,Regular,2023-06-13,2023,6,6.0,1214.279811,Grocery,Nestle,Snacks,Cash,Jun,202.37996850000002,0.0012142798110000002,36-50
Australia,20.0,Male,New,2023-10-15,2023,10,10.0,912.5550406,Clothing,Zara,Shirt,Debit Card,Oct,91.25550405999999,0.0009125550405999999,18-25
USA,19.0,Female,New,2024-02-23,2024,2,2.0,716.0811101,Books,Random House,Non-Fiction,Credit Card,Feb,358.04055505,0.0007160811101,18-25
Germany,26.0,Female,Regular,2023-12-18,2023,12,1.0,19.17591817,Grocery,Pepsi,Soft Drink,Debit Card,Dec,19.17591817,1.917591817e-05,26-35
Germany,40.0,Female,New,2023-06-18,2023,6,8.0,2126.93739,Books,HarperCollins,Non-Fiction,Credit Card,Jun,265.86717375,0.00212693739,36-50
